what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1471671931306
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1471671964994
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1471671964994
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1471672011472
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1471672018186
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1471672020388
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1471672029914
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1471672034126
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1471672096283
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1471672097966
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1471672103815
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1471672105937
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1471672109689
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1471672138545
started,bundle,org.eclipse.core.externaltools,1.0.1.v20100831_r361,"org.eclipse.core.externaltools",1471672138582
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1471672178090
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1471672178121
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1471672186527
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1471672272318
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1471672272333
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1471672276707
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1471672290601
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1471672293935
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1471672295640
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1471672295750
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1471672295981
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1471672295986
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1471672295986
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1471672295986
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1471672295986
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1471672295986
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1471672295986
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1471672295986
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1471672295986
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1471672295989
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1471672296001
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1471672296001
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1471672296002
stopped,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1471672296002
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1471672296002
stopped,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1471672296002
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1471672296008
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1471672296008
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1471672296008
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1471672296008
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1471672296008
